query,calls,server
1,1765,E1
1,0,E2
2,117,E1
2,0,E2
3,3,E1
3,0,E2
4,3,E1
4,0,E2
5,67,E1
5,0,E2
6,3,E1
6,0,E2
7,3,E1
7,0,E2
8,3,E1
8,0,E2
9,11,E1
9,0,E2
10,720,E1
10,1447,E2
11,3,E1
11,0,E2
12,1110,E1
12,2208,E2
13,54,E1
13,0,E2
14,3,E1
14,0,E2
15,3,E1
15,0,E2
16,3,E1
16,0,E2
17,3230,E1
17,5666,E2
18,3,E1
18,0,E2
19,3,E1
19,0,E2
20,3,E1
20,0,E2
21,5121,E1
21,0,E2
22,3,E1
22,0,E2
23,1128,E1
23,2248,E2
24,3,E1
24,0,E2
25,251,E1
25,443,E2
26,20,E1
26,0,E2
27,3,E1
27,0,E2
28,3,E1
28,0,E2
29,59,E1
29,0,E2
30,5,E1
30,5,E2
31,5,E1
31,5,E2
32,3,E1
32,0,E2
33,3,E1
33,0,E2
34,351,E1
34,714,E2
35,347,E1
35,735,E2
36,3,E1
36,0,E2
37,632,E1
37,1263,E2
38,406,E1
38,713,E2
39,20,E1
39,0,E2
40,3,E1
40,0,E2
41,6,E1
41,0,E2
42,3,E1
42,0,E2
43,197,E1
43,0,E2
44,3,E1
44,0,E2
45,501,E1
45,986,E2
46,3,E1
46,0,E2
47,2793,E1
47,4194,E2
48,4158,E1
48,8308,E2
49,13,E1
49,0,E2
50,2416,E1
50,0,E2
51,4,E1
51,5,E2
52,2739,E1
52,5471,E2
53,3,E1
53,0,E2
54,3264,E1
54,5396,E2
55,4252,E1
55,0,E2
56,6,E1
56,0,E2
57,3,E1
57,0,E2
58,80,E1
58,0,E2
59,709,E1
59,1396,E2
60,14,E1
60,0,E2
61,12,E1
61,0,E2
62,52,E1
62,0,E2
63,365,E1
63,0,E2
64,9,E1
64,0,E2
65,16,E1
65,0,E2
66,3,E1
66,0,E2
67,3,E1
67,0,E2
68,3,E1
68,0,E2
69,87,E1
69,0,E2
70,140,E1
70,0,E2
71,79,E1
71,0,E2
72,199,E1
72,391,E2
73,3,E1
73,0,E2
74,3,E1
74,0,E2
75,769,E1
75,1484,E2
76,9,E1
76,0,E2
77,3978,E1
77,0,E2
78,1358,E1
78,2701,E2
79,6,E1
79,0,E2
80,628,E1
80,873,E2
81,45,E1
81,0,E2
82,15,E1
82,0,E2
83,207,E1
83,0,E2
84,164,E1
84,0,E2
85,3,E1
85,0,E2
86,8,E1
86,12,E2
87,76,E1
87,0,E2
88,5,E1
88,5,E2
89,3,E1
89,0,E2
90,5497,E1
90,7811,E2
91,845,E1
91,0,E2
92,618,E1
92,889,E2
93,3,E1
93,0,E2
